YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1940,PRIVATE,78,43.68817271,-79.269435846
1940,PRIVATE,75,43.687961104,-79.269766888
1940,PRIVATE,88,43.688219097,-79.269800533
1940,PRIVATE,85,43.687794468,-79.270325262
1940,PRIVATE,86,43.687651655,-79.270543261
1940,PRIVATE,82,43.6783240562,-79.2996212727
1940,PRIVATE,83,43.7077653626,-79.3010798031
1940,PRIVATE,80,43.6972667157,-79.3072954305
1940,PRIVATE,80,43.6972709992,-79.3716069474
1940,PRIVATE,90,43.667324785,-79.380970345
1940,PRIVATE,80,43.713606404,-79.397782703
1940,PRIVATE,67,43.716861761,-79.400725208
1940,PRIVATE,91,43.705869232,-79.401343877
1940,PRIVATE,73,43.722781904,-79.4147683838
1940,PRIVATE,80,43.685357359,-79.419609008
1940,PRIVATE,92,43.686324034,-79.419978065
1940,PRIVATE,89,43.686490551,-79.420049931
1940,PRIVATE,93,43.6837967555,-79.4215781204
1940,PRIVATE,96,43.688844282,-79.425852061
1941,PRIVATE,81,43.725849397,-79.401345968
1941,PRIVATE,86,43.695042733,-79.423481948
1943,PRIVATE,83,43.6856480126,-79.4188899965
1944,PRIVATE,78,43.71515813,-79.359256459
1945,PRIVATE,83,43.714859025,-79.36014009
1945,PRIVATE,99,43.758987273,-79.403808031
1945,PRIVATE,98,43.758838149,-79.404040398
1945,PRIVATE,91,43.758770542,-79.404411871
1945,PRIVATE,98,43.75869476,-79.404771805
1945,PRIVATE,97,43.758599533,-79.405110246
1945,PRIVATE,92,43.758631647,-79.405405385
1947,PRIVATE,70,43.711639,-79.394802088
1947,PRIVATE,79,43.6843811107,-79.4210952142
1948,PRIVATE,98,43.671964764,-79.374579123
1948,PRIVATE,78,43.6783605408,-79.3950701921
1948,PRIVATE,94,43.698921374,-79.40575322
1948,PRIVATE,88,43.687855329,-79.420634096
1949,PRIVATE,87,43.6839132294,-79.276016525
1949,PRIVATE,82,43.742014423,-79.4373039157
1949,PRIVATE,88,43.7422145294,-79.437433562
1950,PRIVATE,81,43.690864521,-79.265477585
1950,PRIVATE,88,43.690864521,-79.265477585
1950,PRIVATE,84,43.6749404991,-79.279202734
1950,PRIVATE,71,43.7606277472,-79.289722515
1950,PRIVATE,79,43.708358407,-79.3011672055
1950,PRIVATE,90,43.722668083,-79.306350662
1950,PRIVATE,95,43.7087775531,-79.310012242
1950,PRIVATE,90,43.6866220791,-79.3348314458
1950,PRIVATE,90,43.7330607404,-79.340845323
1950,PRIVATE,88,43.7388622795,-79.3416192822
1950,PRIVATE,88,43.733517472,-79.341726092
1950,PRIVATE,92,43.739344531,-79.3421666276
1950,PRIVATE,99,43.691914578,-79.342942945
1950,PRIVATE,83,43.737742938,-79.343010941
1950,PRIVATE,85,43.738740299,-79.3434691076
1950,PRIVATE,100,43.6923348201,-79.3435916097
1950,PRIVATE,88,43.67785486,-79.358814152
1950,PRIVATE,95,43.678047094,-79.35889862
1950,PRIVATE,99,43.676613159,-79.3697198649
